"Código INE" "Municipio" "A3-MNR" "A3-MNR%" "AAI" "AAI%" "ADN" "ADN%" "ALBA" "ALBA%" "APB" "APB%" "AS" "AS%" "ASI" "ASI%" "ASP" "ASP%" "AYRA" "AYRA%" "CDC" "CDC%" "CN" "CN%" "MACA" "MACA%" "MAR" "MAR%" "MAS" "MAS%" "MBL" "MBL%" "MCSFA" "MCSFA%" "MIBOL" "MIBOL%" "MIR-NM" "MIR-NM%" "MNR" "MNR%" "MNR-FRI" "MNR-FRI%" "MOP" "MOP%" "PODEMOS" "PODEMOS%" "TRADEPA" "TRADEPA%" "UCS" "UCS%" "UN" "UN%" "Válidos" "Blancos" "Nulos" "Emitidos" "Abstención" "Inscritos Habilitados"
"010703" "Incahuasi" "0" "0,00" "0" "0,00" "34" "1,08" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "180" "5,73" "0" "0,00" "0" "0,00" "2238" "71,27" "47" "1,50" "0" "0,00" "0" "0,00" "257" "8,18" "67" "2,13" "0" "0,00" "0" "0,00" "202" "6,43" "0" "0,00" "51" "1,62" "64" "2,04" "3140" "979" "171" "4290" "1159" "5449"
"010801" "Villa Serrano" "0" "0,00" "0" "0,00" "35" "1,30" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "244" "9,03" "0" "0,00" "0" "0,00" "1649" "61,05" "241" "8,92" "0" "0,00" "0" "0,00" "65" "2,41" "70" "2,59" "0" "0,00" "0" "0,00" "191" "7,07" "0" "0,00" "35" "1,30" "171" "6,33" "2701" "920" "183" "3804" "796" "4600"
"010901" "Camataqui (Villa Abecia)" "0" "0,00" "0" "0,00" "4" "0,52" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "28" "3,65" "0" "0,00" "0" "0,00" "450" "58,59" "18" "2,34" "0" "0,00" "0" "0,00" "78" "10,16" "59" "7,68" "0" "0,00" "0" "0,00" "101" "13,15" "0" "0,00" "15" "1,95" "15" "1,95" "768" "221" "44" "1033" "212" "1245"
"010902" "Culpina" "0" "0,00" "0" "0,00" "51" "1,58" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "214" "6,64" "0" "0,00" "0" "0,00" "1605" "49,81" "67" "2,08" "0" "0,00" "0" "0,00" "326" "10,12" "181" "5,62" "0" "0,00" "0" "0,00" "650" "20,17" "0" "0,00" "63" "1,96" "65" "2,02" "3222" "965" "220" "4407" "1063" "5470"
"010903" "Las Carreras (Las carretas)" "0" "0,00" "0" "0,00" "8" "1,11" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "59" "8,21" "0" "0,00" "0" "0,00" "373" "51,88" "16" "2,23" "0" "0,00" "0" "0,00" "69" "9,60" "56" "7,79" "0" "0,00" "0" "0,00" "78" "10,85" "0" "0,00" "9" "1,25" "51" "7,09" "719" "228" "53" "1000" "219" "1219"
"011001" "Villa Vaca Guzmán (Muyupampa)" "0" "0,00" "0" "0,00" "128" "6,72" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "57" "2,99" "0" "0,00" "0" "0,00" "942" "49,47" "61" "3,20" "0" "0,00" "0" "0,00" "89" "4,67" "150" "7,88" "0" "0,00" "0" "0,00" "427" "22,43" "0" "0,00" "19" "1,00" "31" "1,63" "1904" "560" "82" "2546" "641" "3187"
"011002" "Villa de Huacaya" "0" "0,00" "0" "0,00" "15" "4,70" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "8" "2,51" "0" "0,00" "0" "0,00" "124" "38,87" "7" "2,19" "0" "0,00" "0" "0,00" "47" "14,73" "53" "16,61" "0" "0,00" "0" "0,00" "20" "6,27" "0" "0,00" "10" "3,13" "35" "10,97" "319" "148" "8" "475" "120" "595"
"011003" "Macharetí" "0" "0,00" "0" "0,00" "227" "17,20" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "15" "1,14" "0" "0,00" "0" "0,00" "502" "38,03" "41" "3,11" "0" "0,00" "0" "0,00" "32" "2,42" "86" "6,52" "0" "0,00" "0" "0,00" "352" "26,67" "0" "0,00" "16" "1,21" "49" "3,71" "1320" "386" "47" "1753" "454" "2207"
"020101" "Nuestra Señora de La Paz" "0" "0,00" "0" "0,00" "4906" "1,30" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "34746" "9,23" "1520" "0,40" "0" "0,00" "14179" "3,77" "0" "0,00" "0" "0,00" "183083" "48,65" "2382" "0,63" "0" "0,00" "0" "0,00" "1333" "0,35" "8031" "2,13" "0" "0,00" "0" "0,00" "45464" "12,08" "4555" "1,21" "2908" "0,77" "73221" "19,46" "376328" "28569" "13869" "418766" "64792" "483558"
"020102" "Palca" "0" "0,00" "0" "0,00" "20" "0,63" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "44" "1,38" "13" "0,41" "0" "0,00" "36" "1,13" "0" "0,00" "0" "0,00" "2719" "85,00" "18" "0,56" "0" "0,00" "0" "0,00" "40" "1,25" "38" "1,19" "0" "0,00" "0" "0,00" "64" "2,00" "26" "0,81" "79" "2,47" "102" "3,19" "3199" "714" "92" "4005" "723" "4728"
